-44.96644282	6.190481986		
-42.28188156	6.904765819		
-39.59732029	7.380958068		
-37.58388974	8.095241901		
-35.23489383	8.809525734		
-32.55033256	8.809525734		
-30.20133665	9.047617318		
-27.85235355	9.047617318		
-25.16777948	9.285717984		
-22.14765285	9.523809567		
-19.46309159	10.00000182		
-16.44295216	10.47619407		
-13.08724738	10.47619407		
-9.731529792	10.2380934		
-7.046981326	10.00000182		
-4.362407258	9.523809567		
-1.342267832	8.809525734		
1.342280633	8.095241901		
4.026854701	7.619049652		
6.711403167	6.904765819		
9.060411877	6.190481986		
11.74496034	5.476189071		
14.76509977	4.761905238		
17.11410848	4.285712988		
20.1342223	4.285712988		
22.48323101	4.285712988		
24.83221412	4.047621405		
27.51678819	3.809529821		
30.53692761	3.333337572		
33.22147608	3.095236906		
36.24161551	2.619053739		
39.26175493	1.904760823		
41.61073804	1.428577657		
44.29531211	0.714284741		
