-45.08120632	17.55775426
-43.78190096	16.89768826
-42.4825956	16.10561106
-41.36890934	15.44554506
-40.06960398	14.65346535
-39.14152973	14.25742675
-37.65661235	13.59736074
-36.17169497	12.93729474
-35.05800163	12.14521251
-33.94431537	11.4851465
-32.83062202	10.95709672
-31.53132374	10.4290419
-30.6032495	9.900987077
-29.30394414	9.372937294
-28.56148191	8.844882474
-27.44779565	8.31683269
-25.96287827	7.656766684
-24.84918493	7.128711864
-23.36426755	6.732673267
-22.06496219	6.468645858
-21.32250704	6.072607261
-20.2088137	5.676568664
-18.90950834	5.016502657
-17.79582207	4.620459025
-16.49651671	4.224420428
-15.01159933	3.960393018
-14.08352509	3.432343234
-12.96983883	3.168315825
-11.67053347	2.772277228
-10.55684012	2.376238631
-9.257541842	1.980194998
-7.958236482	1.716172624
-6.473319105	1.320128992
-4.988394647	0.924090395
-3.689096367	0.396040611
-2.389791006	-0.132014209
-0.904873629	-0.528052805
0.208819715	-0.792080215
1.136893961	-1.188118812
2.250580223	-1.716173632
3.735497601	-2.112212228
4.849190944	-2.376239638
6.148496305	-2.772278235
7.447794585	-3.036305645
9.11833106	-3.564355428
10.97448663	-3.960399061
12.64500895	-4.224421435
14.31554542	-4.752476255
15.9860819	-5.148514851
17.47100635	-5.148514851
19.14152867	-5.412542261
20.44084111	-5.808580858
21.74013939	-5.940597081
23.41067586	-6.072608268
24.89560032	-6.336635678
26.75174881	-6.468646865
28.6078973	-6.864685461
30.4640458	-6.996701684
32.50580631	-7.524751468
33.9907166	-7.920795101
35.29002904	-7.920795101
36.77493934	-8.184817475
38.2598638	-8.448844884
40.11601229	-8.844883481
41.78654876	-9.108910891
43.27145906	-9.240927114
44.94199554	-9.768976898
