-44.45328031809143, -16.821192052980138
-43.49900596421472, -16.324503311258297
-42.2266401590457, -15.827814569536457
-40.95427435387671, -15.23178807947022
-39.68190854870775, -14.635761589403984
-38.409542743538765, -14.039735099337776
-37.13717693836978, -13.642384105960275
-35.86481113320076, -13.046357615894067
-34.27435387673955, -12.45033112582783
-32.68389662027832, -11.854304635761622
-31.093439363817083, -11.258278145695385
-29.821073558648095, -10.662251655629149
-28.23061630218686, -10.06622516556294
-26.640159045725653, -9.470198675496704
-25.367793240556637, -8.874172185430496
-23.77733598409543, -8.476821192052995
-22.186878727634195, -7.880794701986787
-20.59642147117296, -7.483443708609286
-19.005964214711696, -7.086092715231814
-17.41550695825049, -6.589403973509974
-15.506958250497007, -6.092715231788105
-13.598409542743525, -5.2980132450331325
-11.689860834990043, -4.701986754966896
-10.099403578528808, -3.9072847682119516
-8.190854870775354, -3.311258278145715
-6.60039761431409, -2.6158940397351103
-5.009940357852855, -2.11920529801327
-3.7375745526838955, -1.5231788079470334
-2.1471172962226888, -0.9271523178808252
-0.5566600397614252, -0.13245033112585247
0.7157057654075345, 0.4635761589403842
2.306163021868798, 1.1589403973509889
3.896620278330033, 1.655629139072829
5.487077534791268, 2.4503311258278018
7.077534791252475, 3.2450331125827745
8.66799204771371, 4.238410596026455
10.258449304174945, 5.132450331125824
11.84890656063618, 6.026490066225136
13.439363817097416, 6.8211920529801375
15.02982107355865, 7.814569536423818
16.620278330019886, 8.60927152317879
18.528827037773368, 9.6026490066225
20.119284294234603, 10.596026490066208
22.027833001988057, 11.390728476821181
23.300198807157045, 12.284768211920522
25.526838966202774, 13.278145695364202
27.435387673956257, 14.172185430463571
29.02584493041749, 14.76821192052978
30.616302186878727, 15.562913907284752
32.52485089463221, 16.25827814569533
34.115308151093444, 16.953642384105933
35.70576540755465, 17.748344370860906
37.296222664015886, 18.44370860927151
38.88667992047712, 19.03973509933772
40.477137176938385, 19.735099337748323
42.06759443339959, 20.529801324503296
43.65805168986083, 21.324503311258255
44.930417495029815, 21.92052980132449
